t,LEAD1/LA,LEAD2/LL,LEAD3/RA,V1'/V1,V2'/V2,PACE,RESPPM,RESPPH,LOFF,GPIO,CRC
232,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
233,70b4e250,746df657,00000068,0000006c,02000074,000000c0,88c0fd45,,f09bfd4b,,
234,00040000,8b000000,97409cfb,9f4037fb,a250faec,afc0037e,d0b87dec,,d8000000,,
235,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
236,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
237,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
238,6c29ff51,14470056,00000068,0000006c,02000074,000000d0,445afe45,,f49afd4b,,
239,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
240,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
241,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
242,2442fd51,f43b0b56,00000068,0000006c,02000074,000000c0,5cedfe45,,2062f84b,,
243,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
244,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
245,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
246,a024e853,283ff657,00000068,0000006c,02000074,000000c0,98e6ff45,,a0a4fd4b,,
247,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
248,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
249,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
250,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
251,11000000,12a67480,13341ffe,148d61fc,153f64fc,1a5d4ffc,1b000000,,1d000000,,
252,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
253,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
254,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
255,6263b59f,833db2bf,03000040,03000060,160000a0,02000000,82a5fa2f,,6228ed5f,,
256,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
257,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
258,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
259,a1d32d48,e1ec2c58,010000a0,010000b0,0b0000d0,01000000,611d0018,,f1ffff2f,,
260,01080000,18010000,2f61ae00,3ff1ffff,4f6184e9,5fd1cee7,a08132e7,,b0010000,,
261,ca7e0ad3,bdfe8ab3,00800d57,00000e00,00000300,00085800,aebf0800,,b37f0929,,
262,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
263,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
264,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
265,41fd0148,311c0158,010000a0,010000b0,0b0000d0,01000000,31ec0218,,8106a42f,,
266,01080000,18010000,2f716703,3f611dbd,4fe118a2,5f51b89f,a04154a0,,b0010000,,
267,d07e0a93,c2fe0a8b,00008d7c,00800d00,02800e00,00085800,00c00800,,b47f89ce,,
268,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
269,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
270,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
271,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,00000000,,
272,11000000,125b857f,139f68ff,14759ffd,151f96fd,1a7d95fd,1b000080,,1d000000,,
273,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
274,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
275,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
276,c51f4420,90724060,04492a5f,84b1ea5f,aca46fa0,04000000,846fe75f,,c40144bf,,
277,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
278,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
279,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
280,71fd0148,611c0158,010000b0,000000c0,0b000060,01000000,c1d2fe17,,d188a32f,,
281,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
282,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
283,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
284,8260b59f,6095b1bf,000000c0,02000000,02950130,0232ed5f,a2d3b47f,,a2d5b09f,,
285,3e0a6dd3,be0abbc4,008dd9c9,00580000,ff080000,3f890dda,be0985b3,,3e8a8fd0,,
286,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
287,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
288,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
289,c51d4420,10994060,4440cc41,84a1ea5f,eca76fa0,04000000,c48fee5f,,04f68dbe,,
290,bc2f21ce,a13ff199,a04f613f,a05fe178,411e241b,00001bbb,f91f0100,,f62731f8,,
291,a828ff23,30d1fe24,5c44fb26,f825fb28,582ffb2a,00000034,00000036,,0100003a,,
292,4003e2b2,60030000,a0030000,00160000,2f020000,5fe2aff1,7f42eaec,,9f42eeb4,,
293,11000000,12000000,13000000,14000000,15000000,1a000000,1b000000,,1d000000,,
294,002a0000,00340000,00360000,003a0000,00800100,00220000,00240000,,00260000,,
295,00000002,a0fe4500,69014a00,e5fe4dfc,bbfe5100,83fe5500,00006800,,00006c00,,
